AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodStart,BillingPeriodEnd,CapacityReservationId,CapacityReservationStatus,ChargeCategory
us-east-1b,75188.96,a0fce0b7-4a52-49f0-b9dc-662ad1d6d05a,Account-0,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,,Purchase
us-east-1c,75188.96,09df38c0-ba0a-43d4-b4b0-8c17267914b5,,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,,Usage
,75188.96,623aa06d-56d3-48bc-a72c-c0e0576e9d17,Account-2,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-91181ebb,Unused,Credit
,75188.96,b22ce985-4121-4a76-b8f6-7d677f5bb21e,Account-3,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Used,Credit
us-east-1c,75188.96,f2781d33-81c5-463c-b842-600f87553baa,,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Unused,Purchase
,75188.96,b47f72af-f55f-450f-938b-cd023bbf38e2,Account-5,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-78fc0b52,,Tax
us-east-1a,75188.96,a8d872e5-8652-4650-823f-f0cef0e9cdff,Account-6,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Used,Usage
us-east-1b,75188.96,a74784ae-64a9-419a-bdc2-89725b46a76d,Account-7,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Used,Usage
,75188.96,29931842-f30e-4b6a-a091-1baeab67df63,Account-8,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Used,Credit
,75188.96,576ea0f3-66d6-4565-8516-d3411a262e98,Account-9,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,,Adjustment
,75188.96,fba1dadc-eb3b-4ca6-891b-55ce7841ffd8,Account-10,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-87b0f7df,,Adjustment
,75188.96,79e8ae93-c059-4ef8-8441-305e22117c36,Account-11,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-6e94eb47,,Credit
,75188.96,4587822b-5ab6-4a47-b3cc-58b79d5d742b,,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,,Adjustment
,75188.96,0b14ed30-76a5-4325-817b-646b478d7e3d,Account-13,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-cf5e58e6,Used,Tax
,75188.96,0da0a40a-ef77-4411-b561-8a971c6c17f2,,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Unused,Tax
us-east-1b,75188.96,fa401f51-5338-43f4-9ef9-675124b3b260,Account-15,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Used,Purchase
,75188.96,d7173e11-dbfe-4220-b0dc-5638fe8e84da,Account-16,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,,Tax
,75188.96,9651ba4a-7dda-4389-bbc4-55479c3b4a75,Account-17,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-e92750f3,,Tax
,75188.96,e12c109f-5d0f-4619-8312-3bbfa61816b2,Account-18,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-a5cd5dde,,Credit
us-east-1c,75188.96,7c72b02f-2f0b-4e34-aac6-7a08a70f52f2,Account-19,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-d510d673,,Usage
