AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodStart,BillingPeriodEnd,CapacityReservationId,CapacityReservationStatus,ChargeCategory
,1357.19,cddece33-71c3-4a64-8ca8-99d4b044ecfd,Account-0,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-d696f6fe,Unused,Tax
,1357.19,403112de-7576-44ae-86db-9dcd88a8799e,Account-1,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,,Adjustment
,1357.19,68369189-5cee-4478-9cf4-8db4dc917c08,Account-2,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-b5ae6b46,,Adjustment
us-east-1c,1357.19,b9500548-cb6a-4ab8-8722-afce3e74af5c,,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,,Usage
,1357.19,7c61af5f-6e42-40fe-afd0-365303da715b,Account-4,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-cdddc8f5,,Tax
us-east-1a,1357.19,3c7d5114-79c9-45de-947b-1c58c2b55d60,Account-5,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Unused,Usage
us-east-1c,1357.19,428363ef-a2cc-4ef3-9e9e-7f8fc8ef1d24,Account-6,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-c55cc9e3,,Purchase
,1357.19,3d82343c-7f09-46cc-8f2e-1775235a9fc1,,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Used,Adjustment
us-east-1b,1357.19,6c433894-8547-43d7-8caf-6753c65ba7cf,Account-8,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Unused,Usage
,1357.19,d0db9707-5ddc-431a-be65-3d0529ff0e7e,Account-9,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Unused,Credit
,1357.19,493d4967-8f85-4f8e-a09b-b842f5c180ef,,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-bfc5a390,,Tax
,1357.19,29234b1f-8583-492c-bf33-e2d416fe4920,Account-11,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-84a00e68,Used,Credit
,1357.19,3401cf0d-d850-4ff1-999d-956dba80ce90,Account-12,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Unused,Adjustment
,1357.19,f74796f7-9e5a-4bbb-832f-1e8310fdb405,Account-13,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-ba498d32,Unused,Adjustment
,1357.19,9d9dd8b5-3108-471c-afb4-0763f78a3cf0,Account-14,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-7fd712a9,,Credit
,1357.19,4be4e4e5-8c8a-4145-b209-688b82633a45,Account-15,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-01477d04,,Adjustment
us-east-1b,1357.19,6a3c0dee-e6a1-473f-8162-a9d18be7230c,,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-83abf182,,Usage
us-east-1b,1357.19,126e30ec-68f4-4474-b354-c1e9df81f6e8,Account-17,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-b1e48a5b,Used,Usage
,1357.19,5c7ca930-83a7-49a9-b3ee-9c7b54bc727b,Account-18,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Used,Adjustment
,1357.19,766224d6-bd1c-4aaa-9aa5-393abb93a34e,Account-19,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Unused,Tax
