AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodStart,BillingPeriodEnd,CapacityReservationId,CapacityReservationStatus,ChargeCategory
us-east-1a,10189.43,70faa6e1-1b33-488e-9061-f96dd37fd568,Account-0,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,,Usage
,10189.43,549aa0ad-b08d-4a04-b48c-5154d72ad1f8,Account-1,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-9de32e0f,Unused,Adjustment
,10189.43,58659560-0f78-4c2c-9be5-1ae0dd9d4295,,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Used,Tax
us-east-1c,10189.43,13127f84-3fe6-4347-b261-a265e9ca7fc2,Account-3,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,,Usage
us-east-1b,10189.43,6a75d174-71bb-4a5e-9d7e-84f7f2eb9f99,Account-4,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,,Usage
us-east-1a,10189.43,1f8b6b48-5335-4aa1-9768-c33f5d1df253,Account-5,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,,Usage
,10189.43,64d4968b-6f6b-4563-8058-2c9cd2bd1091,Account-6,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Used,Credit
us-east-1b,10189.43,5867370e-cadb-4458-b824-12dccff25df3,Account-7,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-9b3c8ed7,Unused,Usage
us-east-1c,10189.43,682ba0b8-6ea4-4f49-a8e4-9bc901c22853,Account-8,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-00f21231,Unused,Usage
,10189.43,ee5d1512-8b17-44c5-a0ef-d9b25b7626cf,Account-9,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-5617584d,,Tax
us-east-1b,10189.43,cfff5dd4-2d98-4333-8622-b00713c1656b,Account-10,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-823cfda9,,Usage
,10189.43,cedba3a7-f20f-41d5-b15f-0707bfd396a0,Account-11,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-18955422,,Adjustment
,10189.43,1b6f636e-ead4-4897-a90f-3d11df7a0004,Account-12,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,cr-0a47d962,Unused,Tax
,10189.43,07d898a6-3434-41dc-a07f-947b780b5e70,Account-13,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,,Tax
us-east-1a,10189.43,0c41d327-db34-46db-a9da-717b79a0a24a,,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,,Usage
us-east-1b,10189.43,2730f445-a8b7-4ea0-b80f-fb6776da2ba4,Account-15,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,,Usage
us-east-1a,10189.43,2ef9c6fe-79e2-493e-a42d-b252bb43319f,Account-16,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Used,Usage
,10189.43,23de1ee0-ae1f-4992-96e8-258b2a215670,Account-17,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,Unused,Tax
us-east-1a,10189.43,06c61fb5-0545-4d8d-804a-6f39fbd1809b,Account-18,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,,Usage
,10189.43,d1a4a1d0-fe14-4071-8262-6703ebbc2279,Account-19,USD,2024-12-16T23:45:49Z,2025-01-15T23:45:49Z,,,Adjustment
